Best results for each combination of array length and number of segments considering segments with different sizes on GTX950.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;--
1;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;--
2;FT;FT;MT;FT;FT;FT;FT;FT;FT;FT;MT;MT;--
3;R;FT;R;FT;FT;FT;FT;FT;FT;FT;MT;MT;--
4;R;FT;R;FT;FT;FT;FT;FT;FT;FT;FT;MT;--
5;FT;FT;R;R;FT;FT;FT;FT;FT;FT;FT;FT;--
6;FT;FT;M;R;FT;FT;FT;FT;FT;FT;FT;FT;--
7;H;FT;M;FT;FT;FT;FT;FT;FT;FT;FT;FT;--
8;H;FT;M;FT;FT;FT;FT;FT;FT;FT;FT;FT;--
9;H;FT;H;FT;FT;M;FT;FT;FT;FT;FT;FT;--
10;H;FT;M;H;H;FT;FT;FT;FT;FT;FT;FT;--
11;H;FT;H;H;FT;FT;FT;FT;FT;FT;FT;FT;--
12;H;FT;H;H;H;H;H;FT;FT;FT;FT;FT;--
13;H;FT;H;H;H;H;H;FT;FT;FT;FT;FT;--
14;H;FT;H;H;H;H;H;H;H;FT;FT;FT;--
15;--;H;H;H;H;H;H;H;H;H;FT;FT;--
16;--;--;M;H;M;H;H;H;H;H;H;M;--
17;--;--;--;M;M;H;H;H;H;H;H;H;--
18;--;--;--;--;M;M;M;H;H;H;H;H;--
19;--;--;--;--;--;M;M;FT;H;H;H;H;--
20;--;--;--;--;--;--;M;M;M;H;H;H;--
