Best results for each combination of array length and number of segments considering segments with the same size on GTXTITAN.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;FT;MT;MT;FT;FT;FT
1;M;FT;FC;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT
2;R;FT;FC;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT
3;R;R;FC;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT
4;R;R;R;R;FC;FT;FT;FT;FT;FT;FT;FT;FT
5;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT;FT
6;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT;FT
7;H;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT
8;H;H;R;R;R;R;R;R;FT;FT;FT;FT;FT
9;H;H;H;H;R;R;R;R;FT;FT;FT;FT;FT
10;H;H;H;H;H;H;FT;FT;FT;FT;FT;FT;FT
11;H;H;H;H;H;H;H;FT;FT;FT;FT;FT;FT
12;H;H;H;H;H;H;H;FT;FT;FT;FT;FT;FT
13;H;H;H;H;H;H;H;FT;FT;FT;FT;FT;FT
14;H;H;H;H;H;H;H;H;FT;FT;FT;FT;FT
15;--;H;H;H;H;H;H;H;H;FT;FT;FT;FT
16;--;--;H;H;H;H;H;H;H;H;FT;FT;FT
17;--;--;--;H;H;H;H;H;H;H;FT;FT;FT
18;--;--;--;--;H;H;H;H;H;H;H;FT;FT
19;--;--;--;--;--;H;H;FT;H;H;H;H;FT
20;--;--;--;--;--;--;M;FT;FT;H;H;H;H
