Best results for each combination of array length and number of segments considering segments with the same size on K20.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;FC;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT
1;M;FT;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT;FT
2;R;FT;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT;FT
3;R;R;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT;FT
4;H;R;R;R;FC;FC;FT;FT;FT;FT;FT;FT;FT
5;R;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT
6;H;R;R;R;R;R;R;FT;FT;FT;FT;FT;FT
7;H;R;R;R;R;R;R;R;FT;FT;FT;FT;FT
8;H;H;R;R;R;R;R;R;R;R;FT;FT;FT
9;H;H;M;H;R;R;R;R;R;R;FT;FT;FT
10;H;H;M;H;H;H;H;R;R;R;FT;FT;FT
11;H;H;M;H;H;H;H;FT;FT;FT;FT;FT;FT
12;H;H;M;H;H;H;H;H;FT;FT;FT;FT;FT
13;H;H;M;FC;H;H;H;H;H;FT;FT;FT;FT
14;H;H;M;FC;H;H;H;H;H;H;FT;FT;FT
15;--;H;M;FC;H;H;H;H;H;H;H;FT;FT
16;--;--;M;FC;H;H;H;H;H;H;H;H;FT
17;--;--;--;FC;M;M;H;H;H;H;H;H;H
18;--;--;--;--;FC;FC;H;H;H;H;H;H;H
19;--;--;--;--;--;FC;M;M;H;H;H;H;H
20;--;--;--;--;--;--;M;M;M;H;H;H;H
