Best results for each combination of array length and number of segments considering segments with different sizes on K40.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;FC;FC;MT;FC;FC;FT;MT;MT;MT;MT;MT
1;M;FT;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
2;M;FT;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
3;M;FT;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
4;R;FT;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
5;R;R;R;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
6;R;R;R;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
7;H;R;R;R;FC;FC;FC;FT;FT;FT;FT;FT;FT
8;H;R;R;R;R;FC;FC;FT;FT;FT;FT;FT;FT
9;H;H;FC;FC;R;FC;FC;FT;FT;FT;FT;FT;FT
10;H;H;FC;FC;FC;FC;FC;FT;FT;FT;FT;FT;FT
11;H;H;FC;H;FC;FC;FC;FT;FT;FT;FT;FT;FT
12;H;H;FC;H;H;FC;FC;FT;FT;FT;FT;FT;FT
13;H;H;FC;H;H;H;FC;FT;FT;FT;FT;FT;FT
14;H;H;FC;H;H;H;H;FT;FT;FT;FT;FT;FT
15;--;H;M;H;H;H;H;FT;FT;FT;FT;FT;FT
16;--;--;M;H;H;H;H;H;FT;FT;FT;FT;FT
17;--;--;--;FC;FC;FC;H;FT;FT;FT;FT;FT;FT
18;--;--;--;--;FC;FC;FC;FT;FT;FT;FT;FT;FT
19;--;--;--;--;--;FC;FC;FT;FT;FT;FT;FT;FT
20;--;--;--;--;--;--;FT;FT;FT;FT;FT;FT;FT
