Best results for each combination of array length and number of segments considering segments with different sizes on NAPOLI.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT
1;FC;FC;FT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT
2;FC;FC;FT;MT;FT;FT;FT;FT;MT;MT;MT;MT;MT
3;R;FC;FT;FC;FT;FT;FT;FT;FT;MT;MT;MT;MT
4;R;R;FT;FC;FT;FT;FT;FT;FT;FT;FT;MT;MT
5;R;R;FT;R;FT;FT;FT;FT;FT;FT;FT;FT;MT
6;FC;FC;FT;R;R;FT;FT;FT;FT;FT;FT;FT;FT
7;H;FC;FT;R;R;R;FT;FT;FT;FT;FT;FT;FT
8;H;H;FT;FC;R;R;FT;FT;FT;FT;FT;FT;FT
9;H;H;FT;FC;FT;FT;FT;FT;FT;FT;FT;FT;FT
10;H;H;FT;FC;H;FT;FT;FT;FT;FT;FT;FT;FT
11;H;H;FT;H;H;H;FT;FT;FT;FT;FT;FT;FT
12;H;H;FT;H;H;H;H;FT;FT;FT;FT;FT;FT
13;H;H;FT;H;H;H;H;H;FT;FT;FT;FT;FT
14;H;H;FT;H;H;H;H;H;H;FT;FT;FT;FT
15;--;H;FT;H;H;H;H;H;H;H;FT;FT;FT
16;--;--;FT;M;H;H;H;H;H;H;H;M;FT
17;--;--;--;M;H;H;H;H;H;H;H;H;M
18;--;--;--;--;M;M;M;H;H;H;H;H;H
19;--;--;--;--;--;M;M;M;H;H;H;H;H
20;--;--;--;--;--;--;M;M;M;H;H;H;H
