Best results for each combination of array length and number of segments considering segments with different sizes on Q4000.
;15;16;17;18;19;20;21;22;23;24;25;26;27
0;MT;MT;MT;MT;MT;MT;MT;FT;MT;FT;MT;MT;MT
1;FC;FT;MT;FC;FT;FT;FT;FT;FT;FT;MT;MT;MT
2;FC;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT;MT
3;FC;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT;FT
4;R;FT;FC;FC;FT;FT;FT;FT;FT;FT;FT;FT;FT
5;R;FT;R;R;FT;FT;FT;FT;FT;FT;FT;FT;FT
6;FC;FT;R;R;FT;FT;FT;FT;FT;FT;FT;FT;FT
7;H;FT;FC;R;FT;FT;FT;FT;FT;FT;FT;FT;FT
8;H;FT;FC;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
9;H;FT;FC;FT;FT;FT;FT;FT;FT;FT;FT;FT;FT
10;H;FT;FC;H;FT;FT;FT;FT;FT;FT;FT;FT;FT
11;H;FT;H;H;H;FT;FT;FT;FT;FT;FT;FT;FT
12;H;FT;FC;H;H;FT;FT;FT;FT;FT;FT;FT;FT
13;H;FT;FC;H;H;H;FT;FT;FT;FT;FT;FT;FT
14;H;FT;M;H;H;H;H;FT;FT;FT;FT;FT;FT
15;--;H;H;H;H;H;H;H;FT;FT;FT;FT;FT
16;--;--;M;H;H;H;H;H;FT;FT;FT;FT;FT
17;--;--;--;M;M;FT;FT;H;H;FT;H;H;M
18;--;--;--;--;FT;FT;FT;FT;FT;FT;H;H;H
19;--;--;--;--;--;FT;FT;FT;FT;FT;H;H;H
20;--;--;--;--;--;--;FT;FT;FT;H;H;H;H
